tconst,primaryTitle,startYear,endYear,rank,averageRating,numVotes,directors,writers,genres
tt0903747,Breaking Bad,2008,2013,1,9.5,2647791,"Tricia Brock, Johan Renck, Michelle MacLaren, Phil Abraham, Rian Johnson, Sam Catlin, Bronwen Hughes, Bryan Cranston, Félix Enríquez Alcalá, Vince Gilligan, Tim Hunter, Thomas Schnauz, Scott Winant, Jim McKay, Adam Bernstein, George Mastras, Peter Medak, Colin Bucksey, Charles Haid, Michael Slovis, David Slade, John Dahl, John Shiban, Peter Gould, Terry McDonough","Patty Lin, Vince Gilligan, Moira Walley-Beckett, John Shiban, George Mastras, Gennifer Hutchison, Peter Gould, Sam Catlin, J. Roberts, Thomas Schnauz","Crime, Drama, Thriller"
tt0185906,Band of Brothers,2001,2001,2,9.4,599390,"Phil Alden Robinson, Richard Loncraine, Mikael Salomon, Tony To, Tom Hanks, David Leland, David Nutter, David Frankel","Bruce C. McKenna, Tom Hanks, E. Max Frye, Graham Yost, John Orloff, Erik Bork, Stephen Ambrose, Erik Jendresen","Action, Drama, History"
tt0795176,Planet Earth,2006,2006,6,9.4,235956,"Mark Linfield, Alastair Fothergill","Vanessa Berlowitz, Alastair Fothergill, David Attenborough, Gary Parker","Documentary, Family"
tt5491994,Planet Earth II,2016,2016,7,9.4,175991,"Ed Charles, Fredi Devas, Elizabeth White, Justin Anderson, Emma Napper, Chadden Hunter",Elizabeth White,"Documentary, Family"
tt7366338,Chernobyl,2019,2019,3,9.3,1051618,Johan Renck,Craig Mazin,"Drama, History, Thriller"
tt0417299,Avatar: The Last Airbender,2005,2008,4,9.3,449080,"Anthony Lioi, Lauren MacMullan, Oh Seung-hyun, Giancarlo Volpe, Joaquim Dos Santos, Ethan Spaulding, Dave Filoni, Michael Dante DiMartino, Bryan Konietzko","Andrew Huebner, John O'Bryan, Joshua Hamilton, Lisa Wahlander, Michael Dante DiMartino, James Eagan, Ian Wilcox, Josh Stolberg, Tim Hedrick, Aaron Ehasz, Gary Scheppke, Justin Ridge, Scott Sonneborn, Pete Goldfinger, Katie Mattila, Sib Ventress, Bryan Konietzko, Matt Hubbard, Lauren MacMullan, Nick Malis, May Chan, Giancarlo Volpe, Elizabeth Welch Ehasz, Joann Estoesta","Action, Adventure, Animation"
tt0306414,The Wire,2002,2008,5,9.3,434994,"Robert F. Colesberry, David Platt, Peter Medak, Seith Mann, Anthony Hemingway, Christine Moore, Agnieszka Holland, Joe Chappelle, Milcho Manchevski, Elodie Keene, Jim McKay, Scott Kecken, Clark Johnson, Gloria Muzio, Thomas J. Wright, Clement Virgo, Ernest Dickerson, Dominic West, Leslie Libman, Ed Bianchi, Timothy Van Patten, Daniel Attias, Rob Bailey, Brad Anderson, Joy Kecken, Alex Zakrzewski, Steve Shill","Rafael Álvarez, William F. Zorzi, Richard Price, David H. Melnick, David Mills, Kia Corthron, Chris Collins, Dennis Lehane, George Pelecanos, David Simon, Shamit Choksey, Ed Burns, Joy Kecken, Eric Ellis Overmyer","Crime, Drama, Thriller"
tt6769208,Blue Planet II,2017,2017,22,9.3,58202,James Honeyborne,James Honeyborne,"Documentary, Family"
tt0081846,Cosmos,1980,1980,23,9.3,53499,"Geoffrey Haines-Stiles, Adrian Malone, David Kennard, David F. Oyster, Tom Weidlinger, Richard J. Wells, Rob McCain, Richard Wells","Steven Soter, Ann Druyan, Carl Sagan",Documentary
tt7678620,Bluey,2018,NA,32,9.3,48504,"Joe Brumm, Richard Jeffery, Claire Renton, Beth Harvey, Tony Walsh","Joe Brumm, Stuart Heritage, Tim Bain, Beth Harvey, Dan Brumm, Chris Bennett, John McGeachin, Lorin Clarke, Dave Lowe, Michael Griffin, Mark Paterson, Francis Stanton, Claire Renton","Animation, Comedy, Family"
